os,fecha_ingreso,fecha_entrega,cliente,tipo_equipo,marca,modelo,repuestos_sugeridos_texto,descripcion_problema,trabajos_realizados
28783,2025-12-01 00:00:00,2025-12-19 10:04:50,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,compresor | filtro,se soltó el tapón derecho del compresor,colocación de tapón - cambio de filtros - cambio de tapa de filtro - control y limpieza del equipo
28784,2025-12-01 00:00:00,2025-12-19 10:04:35,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,filtro | manguera | placa | zeolita/tamiz,"manguera de zeolita derecha rota
placa principal con falla en la alarma",cambio de manguera zeolita - cambio de filtros - cambio de placa principal - control y limpieza del equipo
28785,2025-12-01 00:00:00,2026-02-02 14:46:00,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,filtro | valvula/pillow,"",reemplazo de válvula pilow - cambio de filtro - control y limpieza del equipo
28790,2025-12-01 00:00:00,2025-12-09 16:34:11,DIAGNOSTIC MEDIC,POLÍGRAFO,BMC,PolyWatch YH-600B,cable | sensor,"equipo no sensa bien el flujo de aire y la respiración toracoabdominal por cable de kit de respiracion desgastado, esto es por mal cuidado del equipo.","cambio de cable del kit de respiracion - control de funcionamiento ok

Accesorios: bolso + kit respiratorio + Sensor SpO2 + latiguillos"
28788,2025-12-02 00:00:00,2025-12-19 07:01:00,SIED,ASPIRADOR A BATERÍAS,Movi-vac,A-550,motor | vacuometro,MOTOR RUIDOSO VACUOMETRO TRABADO,"DESMARME LIMPIEZA Y LUBRICACION DE MOTOR, FIJACION MOTOR A BOMBA CAMBIO DE VACUOMETRO"
28789,2025-12-02 00:00:00,,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,filtro | valvula/pillow | zeolita/tamiz,"",cambio de canister de ceolita + válvula pilot - cambio de filtro genérico
28791,2025-12-02 00:00:00,2026-01-13 16:53:22,OXIDOM,CPAP,BMC,CPAP G2,"","EQUIPO TENIA PERDIDA DE FLUJO DE AIRE INTERNA - EQUIPO CONTAMINADO POR BICHOS EN SU INTERIOR - MAL FUNCIONAMIENTO DE RESLEX 
PERDIDA DE FLUJO INTERNA POR TURBINA DESACOMODADA","LIMPIEZA Y DESINFECCION DE EQUIPO - ACTUALIZACION DE SOFTWARE DEL EQUIPO - CONTROL OK
CAMBIO DE CARCAZA DE TURBINA POR RESIDUOS DE INSECTOS 
"
28792,2025-12-02 00:00:00,2026-01-19 07:16:00,OXIDOM,CPAP,BMC,CPAP G2,"",MAL FUNCIONAMIENTO DEL RESLEX - SILBIDO EN TURBINA,"SE REALIZO ACTUALIZACION DE SOFTWARE PARA CORRECCION DE RESLEX - SILBIDO EN TURBINA CAUSADO POR RODAMIENTO INTERNO DE LA TURBINA DESGASTADO, CAUSADO POR EL EXCESO DE SUCIEDAD QUE ENTRO EN EL EQUIPO(SE ADJUNTAN FOTOS)
REQUIERE CAMBIO DE TURBINA"
28803,2025-12-05 00:00:00,,NOVAMED S.A.,oxímetro de pulso,Nellcor,N-560,sensor,Fijación de ficha de entrada de sensor ROTA,Incorporación de soporte interno para ficha de enttrada de sensor
28809,2025-12-05 00:00:00,,PRAXAIR ARG.,CPAP,BMC,CPAP G2,"",oscilación de presión por falla en reslex - equipo sucio,actualización de software  - limpieza interior y exterior - control de funcionamiento ok
