"os","fecha_ingreso","fecha_entrega","cliente","tipo_equipo","marca","modelo","items_repuesto_presupuesto","keywords_texto","match_directo_top3","estado","descripcion_problema","trabajos_realizados"
"28783","2025-12-01 00:00:00","2025-12-19 10:04:50","SIED","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","compresor | filtro","","pendiente_manual","se soltó el tapón derecho del compresor","colocación de tapón - cambio de filtros - cambio de tapa de filtro - control y limpieza del equipo"
"28790","2025-12-01 00:00:00","2025-12-09 16:34:11","DIAGNOSTIC MEDIC","POLÍGRAFO","BMC","PolyWatch YH-600B","Cable kit","cable | manguera | placa | sensor","","pendiente_manual","equipo no sensa bien el flujo de aire y la respiración toracoabdominal por cable de kit de respiracion desgastado, esto es por mal cuidado del equipo.","cambio de cable del kit de respiracion - control de funcionamiento ok

Accesorios: bolso + kit respiratorio + Sensor SpO2 + latiguillos"
"28791","2025-12-02 00:00:00","2026-01-13 16:53:22","OXIDOM","CPAP","BMC","CPAP G2","","motor","","pendiente_manual","EQUIPO TENIA PERDIDA DE FLUJO DE AIRE INTERNA - EQUIPO CONTAMINADO POR BICHOS EN SU INTERIOR - MAL FUNCIONAMIENTO DE RESLEX 
PERDIDA DE FLUJO INTERNA POR TURBINA DESACOMODADA","LIMPIEZA Y DESINFECCION DE EQUIPO - ACTUALIZACION DE SOFTWARE DEL EQUIPO - CONTROL OK
CAMBIO DE CARCAZA DE TURBINA POR RESIDUOS DE INSECTOS"
"28803","2025-12-05 00:00:00","","NOVAMED S.A.","oxímetro de pulso","Nellcor","N-560","","sensor","","pendiente_manual","Fijación de ficha de entrada de sensor ROTA","Incorporación de soporte interno para ficha de enttrada de sensor"
"28809","2025-12-05 00:00:00","","PRAXAIR ARG.","CPAP","BMC","CPAP G2","","","","pendiente_manual","oscilación de presión por falla en reslex - equipo sucio","actualización de software  - limpieza interior y exterior - control de funcionamiento ok"
"28815","2025-12-05 00:00:00","","DOMICILIO SALUD","oxímetro de pulso","Nellcor","N-560","","bateria_pila","","pendiente_manual","bateria obsoleta - carcaza de frente e inferior rota","cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior"
"28816","2025-12-05 00:00:00","","PRAXAIR ARG.","oxímetro de pulso","Nellcor","N-560","","bateria_pila | placa","","pendiente_manual","error 526(falla en modulo SPo2) - bateria obsoleta - carcaza inferior rota","cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior"
"28817","2025-12-05 00:00:00","","PRAXAIR ARG.","oxímetro de pulso","Nellcor","N-560","","bateria_pila","","pendiente_manual","bateria obsoleta","CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK"
"28819","2025-12-05 00:00:00","","PRAXAIR ARG.","oxímetro de pulso","Nellcor","N-560","","bateria_pila","","pendiente_manual","bateria obsoleta","cambio de bateria 12v 1.3a - control de funcionamiento ok"
"28820","2025-12-05 00:00:00","","PRAXAIR ARG.","oxímetro de pulso","Nellcor","N-560","","bateria_pila","","pendiente_manual","BATERIA OBSOLETA","CAMBIO DE BATERIA 12V 1.3A - CONTROL OK"
