"os","regla","marca","modelo","variante","trabajos_realizados","repuesto_codigo_objetivo","repuesto_descripcion_objetivo","qty_objetivo","aplicar_costo","qty_actual_db","costo_u_neto_actual_db","quote_item_id_actual","estado_aplicacion","nota"
"28784","1","Longfian","JAY-5","","cambio de manguera zeolita - cambio de filtros - cambio de placa principal - control y limpieza del equipo","1502011","PLACA CONTROL JAY-5/5Q","1.00","SI","1.00","27740.00","3613","APLICADO","Cambio de placa en JAY-5/JAY-5Q"
"28790","2","BMC","PolyWatch YH-600B","PRO","cambio de cable del kit de respiracion - control de funcionamiento ok

Accesorios: bolso + kit respiratorio + Sensor SpO2 + latiguillos","","","","NO","","","","SIN_CAMBIO","No hace falta costo"
"28816","3","Nellcor","N-560","","cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior","","","","NO","","","","SIN_CAMBIO","Se usaron repuestos usados"
"28871","4","Movi-vac","A-550","","REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA","","","","NO","","","","SIN_CAMBIO","No hubo cambio de repuestos"
"28875","5","AirSep","NewLife Elite","5L","cambio de placa principal - cambio de electroválvula - cambio de filtros - cambio zeolita (CAN 0026/27) - control y limpieza del equipo","1502012","PLACA PRINCIPAL AIRSEP","1.00","SI","1.00","29200.00","3653","APLICADO","Todo AirSep NewLife placa=1502012"
"28893","6","BMC","AUTO CPAP G2S","G2S","CONTROL DE FUNCIONAMIENTO DE TODOS LOS PARAMETROS DEL EQUIPO OK - CAMBIO DE TURBINA - CAMBIO DE FILTRO","1501002","Turbina G2s C2+ para CPAP/Auto CPAP BMC","1.00","SI","1.00","221920.00","3920","APLICADO","No placa; turbina=1501002"
"28898","7","Movi-vac","A-550","","requiere cambio de pack de baterias 6v 4a- jack de alimentacion - ","ME-041","BATERÍA GEL 6V 4AH","2.00","SI","2.00","9490.00","3683","APLICADO","Pack baterias Movi-vac x2"
"28910","8","Movi-vac","A-550","","REQUIERE CAMBIO DE PACK DE BATERIAS 6V 4A - VACUOMETRO - CAMBIO DE CARCAZA FRONTAL - CIRCUITO NEUMATICO - LIMPIEZA Y LUBRICACION DE MOTOR COMPLETO CON GRASA LIQUIDA WURTH, CAMBIO DE FLAPPER(HECHO) - ","ME-041","BATERÍA GEL 6V 4AH","2.00","SI","2.00","9490.00","3667","APLICADO","Igual regla 7"
"28910","8","Movi-vac","A-550","","REQUIERE CAMBIO DE PACK DE BATERIAS 6V 4A - VACUOMETRO - CAMBIO DE CARCAZA FRONTAL - CIRCUITO NEUMATICO - LIMPIEZA Y LUBRICACION DE MOTOR COMPLETO CON GRASA LIQUIDA WURTH, CAMBIO DE FLAPPER(HECHO) - ","IN-001","Vacuómetro diámetro 52MM Fij. Frontal","1.00","SI","1.00","39420.00","3668","APLICADO","Suma vacuómetro"
"28915","9","Movi-vac","A-550","","se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg","ME-041","BATERÍA GEL 6V 4AH","2.00","SI","2.00","9490.00","3658","APLICADO","Igual regla 8"
"28915","9","Movi-vac","A-550","","se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg","IN-001","Vacuómetro diámetro 52MM Fij. Frontal","1.00","SI","1.00","39420.00","3659","APLICADO","Solo bateria y vacuómetro; reparación no es cambio de repuesto"
